Index,Product Company Name: ,Product Name: ,Product MRP: ,Product Price: ,Dicount Information,Product Details ,Product Code,Seller Information,Source of Product
97,"""UNDER ARMOUR""","""Men Blue Project Rock Iron Paradise Printed Back T-Shirt """,Rs. 3299,Rs. 3299,0,"""{'Product Details ': '""Special technologyHeatGear technologyProduct design detailsBlue printed back t-shirtribbed collarshort sleevesDistressed graphicCharged Cotton\xa0has the comfort of cotton, but dries much faster4-way stretch construction moves better in every directionMaterial wicks sweat and\xa0dries really fastLoose:\xa0Fuller cut for complete comfort\xa0""', 'Size & Fit': '""Loose fit\xa0The model (height 6\') is wearing a size M""', 'Material & Care': '""57% cotton, 38% polyester and 5% elastaneMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fabric 3:Elastane,Fit:Loose,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Printed,Pattern Coverage:Back,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10819036,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::CHERRY (SUZHOU) GARMENT LTD WUZHONG ECONOMIC DEVELOPMENT ZONE SUZHOU 215124-----Country of origin::China-----"""
98,"""Roadster""","""Men White & Grey Striped Contrast Round Neck T-shirt""",Rs. 599,Rs. 329,(45% OFF),"""{'Product Details ': '""White and grey melange striped T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton blendMachine-wash""', 'Complete The Look': '""Elevate the look of your wardrobe with a few more basic tees like this high-end cotton one from Roadster.  This white item can be teamed with fitted jeans for a clean look or lounge shorts for casual weekend wear.""'}""",2215177,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::MAITRI KNITWEAR,Behind hp gas agencies,Vill-bajra,rahon road ludhiana,LUDHIANA,PUNJAB,141008-----Country of origin::INDIA-----"""
99,"""WROGN""","""Men White Printed Round Neck T-shirt""",Rs. 699,Rs. 454,(35% OFF),"""{'Product Details ': '""White printed T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",9200297,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,Universal Sports Biz Pvt. Ltd.Next SCM solutions Pvt. Ltd.,#88/3, Seggehalli village, Kadugodi,BANGALORE,KARNATAKA,560067-----Country of origin::INDIA-----"""
100,"""Marks & Spencer""","""Men White Solid Henley Neck Slim Fit T-shirt""",Rs. 1299,Rs. 1299,0,"""{'Product Details ': '""White solid slim fit T-shirt, has a Henley neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Henley Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11444624,Sold by: RetailNet  RetailNet ,"""Manufacturer/Packer/Importer Details::Importer's Address- Marks & Spencer Reliance india Pvt. Ltd. Gurgaon Haryana-122002-----Country of origin::India-----"""
101,"""Superdry""","""Men Navy Blue Solid Round Neck T-shirt""",Rs. 2599,Rs. 2599,0,"""{'Product Details ': '""Navy blue solid T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""CottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",9375405,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::Reliance Brands Limited, 8th Floor, Maker Tower E, Cuffe Parade, Mumbai - 400 005-----Country of origin::india-----"""
102,"""Roadster""","""Men Red All-Over-Printed Round Neck T-shirt""",Rs. 699,Rs. 279,(60% OFF),"""{'Product Details ': '""Red and black printed  T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cotton Machine-wash""', 'Complete The Look': '""Sport this trendsetting Roadster tee when you\'re ready to take your style to the next level.  A quick drink with the gang is as easy as putting this red piece in league with some slim black jeans and a sturdy overshirt.""'}""",1997302,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::POPPYS APPARELS,NO.57, APPACHI NAGAR MAIN ROAD,TIRUPUR,TAMILNADU,641607-----Country of origin::INDIA-----"""
103,"""Roadster""","""Men White & Navy Blue Printed Round Neck T-shirt""",Rs. 599,Rs. 359,(40% OFF),"""{'Product Details ': '""White and Navy Blue printed T-shirt, has a round neck, and sleeveless""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: Cotton Machine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Varsity,Sleeve Length:Sleeveless,Sleeve Styling:No Sleeves,Wash Care:Machine Wash,""""'}""",11545488,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::YES ENTERPRISES,2996/97,back side P.N.B Sunder Nagar,,LUDHIANA,PUNJAB,141008-----Country of origin::India-----"""
104,"""INVICTUS""","""Men Mustard Yellow Solid Polo Collar T-shirt""",Rs. 1199,Rs. 1199,0,"""{'Product Details ': '""Mustard yellow solid T-shirt, has a polo collar, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10991398,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Kapoor Cotsyn Exports<br />15-B, Textile Colony, Industrial Area - A,<br />Ludhiana - 141003-----Country of origin::India-----"""
105,"""WROGN""","""Men Blue & Green Colourblocked Polo T-shirt""",Rs. 1499,Rs. 1499,0,"""{'Product Details ': '""Blue and green\xa0colourblocked T-shirt, has a polo collar, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Slim Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Colourblocked,Print or Pattern Type:Colourblocked,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2339655,Sold by: Flashstar Commerce  Flashstar Commerce ,"""Manufacturer/Packer/Importer Details::Universal SportsBiz Private Limited,Universal Sports Biz Pvt. Ltd.Next SCM solutions Pvt. Ltd.,#88/3, Seggehalli village, Kadugodi,BANGALORE,KARNATAKA,560067-----Country of origin::INDIA-----"""
106,"""Kook N Keech""","""Men Black & Blue Dexter's Laboratory Printed Round Neck T-shirt""",Rs. 999,Rs. 649,(35% OFF),"""{'Product Details ': '""Black and Blue Dexter\'s Laboratoryprinted T-shirt, has a round neck, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Graphic Print Others,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:All-Over,Print or Pattern Type:Graphic,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11029160,Sold by: Indiflashmart  Indiflashmart ,"""Manufacturer/Packer/Importer Details::Sealink Fashion (p) ltd,31KNP SUBRAMANI NAGAR PUDHUR ROAD,,Tirupur,Tamilnadu,641604-----Country of origin::India-----"""
107,"""H&M""","""Men Black Solid Long T-shirt""",Rs. 699,Rs. 699,0,"""{'Product Details ': '""Long, straight T-shirt in soft jersey in a relaxed fit with ribbing around the neckline and a very rounded hem.""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10359989,Sold by: H & M Hennes & Mauritz Retail Private Limited  H & M Hennes & Mauritz Retail Private Limited ,"""Manufacturer/Packer/Importer Details::Manufactured By: SHIVALIK PRINTS LTD.PLOT NO. 48, Sector 6, 121006, Faridabad-----Country of origin::India-----"""
108,"""Nike""","""Men Charcoal Grey Printed Round Neck Dfct Wr Burn Running T-shirt""",Rs. 1695,Rs. 1440,(15% OFF),"""{'Product Details ': '""Product DetailsCharcoal Grey printed T-shirt,has a round neck,and short sleevesWarranty: 6 months against manufacturing defects (not valid on products with more than 20% discount)""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""57% Cotton and 43% Polyester \xa0Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:Abstract,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:All-Over,Print or Pattern Type:Abstract,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Sport:Running,Wash Care:Machine Wash,""""'}""",11446414,Sold by: Indiflashmart  Indiflashmart ,"""Manufacturer/Packer/Importer Details::YESIM SATIS MAGAZALARI TEKSTIL-YSM-karapinar mah-ankara yolu caddesi-bursa-TR-16300-----Country of origin::United States-----"""
109,"""Roadster""","""Men Maroon Round Neck T-shirt with Striped Sleeves""",Rs. 599,Rs. 239,(60% OFF),"""{'Product Details ': '""Maroon T-shirt with printed detail, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size L""', 'Material & Care': '""100% cotton Machine-wash""', 'Complete The Look': '""Upgrade your style when you take a page out of Roadster\'s book with this tee. When you\'re grabbing a quick meal with your friends, this maroon piece looks great with slimmer pants and chukka boot.""'}""",1708419,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::MACFIT FASHIONSNO-1,5/6 , SINGARAVELAN NAGAR,1ST STREET,SAKTHI THEATRE ROAD ,CHETTIPALAYAM,TIRUPUR,TAMILNADU,641603-----Country of origin::India-----"""
110,"""HRX by Hrithik Roshan""","""Men Black Advanced Rapid Dry Round Neck T-shirt""",Rs. 799,Rs. 519,(35% OFF),"""{'Product Details ': '""The HRX Men\'s Advanced Rapid dry Tshirt made with sweat-wicking fabric to help keep you dry and comfortable throughout your sport.Features & BenefitsAdvanced Rapid Dry Technology processed at the yarn level wicks sweat & dries fastN9 Anti-odor technology prevents the growth of odor-causing microbes keeping you fresh & hygienic all dayThe regular fit follows the shape of your body with added room for comfortReflective logos & sleeve print for greater visibility in low-light""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% polyesterMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Sports,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2314401,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::SHIV SUNDARAM,SHIV SUNDARAM,2ND FLOOR, 1490/50,GHALEYWAL IND AREA, NEAR EKTA COLONY, RAHON ROAD,LUDHIANA,PUNJAB,141007-----Country of origin::INDIA-----"""
111,"""HERE&NOW""","""Men White & Black Colourblocked Round Neck T-shirt With Printed Detailing""",Rs. 699,Rs. 699,0,"""{'Product Details ': '""White and Black colourblocked T-shirt, has a round neck, printed detailing, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% CottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Colourblocked,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Colourblocked,Print or Pattern Type:Colourblocked,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11332934,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::VIJAY APPARELS , 2/337, Puduthottam ,Dharapuram Road Pollikalipalayam Post,Tiruppur, 641665,Coimbatore,TAMILNADU,641665-----Country of origin::India-----"""
112,"""Roadster""","""Men Green Melange Solid Round Neck T-shirt""",Rs. 399,Rs. 279,(30% OFF),"""{'Product Details ': '""Green solid T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""60% cotton, 40% ppolyesterMachine-wash""', 'Complete The Look': '""Made of blended, you\'ll love the high-quality fit and feel of this Roadster tee.  This green piece can be teamed with cuffed chinos and canvas shoes when you\'re meeting the guys for drinks.""'}""",1996721,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::GINNI FILAMENTS LTD.,D-196,SECTOR-63,Noida,Uttar pradesh,201301-----Country of origin::INDIA-----"""
113,"""Sztori""","""Men White Solid Henley Neck T-shirt""",Rs. 1099,Rs. 769,(30% OFF),"""{'Product Details ': '""White solid T-shirt, has a Henley neck, button closure and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size XXL""', 'Material & Care': '""Material: Cotton Machine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Henley Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11198366,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::SAP FASHIONS PVT LTD,SAP FASHIONS PVT LTD,PLOT NO. 85, SECTOR-56, PHASE IV, HSIDC KUNDLI INDUSTRIAL ESTATE,,Sonipat,Haryana,131028,India-----Country of origin::India-----"""
114,"""HERE&NOW""","""Men Teal Blue & Grey Colourblocked Polo Collar T-shirt""",Rs. 1299,Rs. 1299,0,"""{'Product Details ': '""Teal blue and Grey colourblocked T-shirt, has a polo collar, and short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""85% Cotton and 15% polyesterMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Polo Collar,Occasion:Casual,Pattern:Colourblocked,Print or Pattern Type:Colourblocked,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",10969598,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::SHRI GANAPATHI SOURSES, 115/2 Behind SSK Knit Printers, Palladam Road, Mangalam,Tripur,TIRUPPUR,TAMILNADU,641663-----Country of origin::INDIA-----"""
115,"""UNDER ARMOUR""","""Charcoal Grey Pinstriped Threadborne Match Jersey""",Rs. 2999,Rs. 2999,0,"""{'Product Details ': '""Special technologiesUA Microthread technology in the fabric dries faster, won\'t cling to you, won\'t chafe and stretches without absorbing sweatHeatGear(r) fabric is ultra-soft & smooth for extreme comfort with very little weightStretch-mesh back panel delivers strategic ventilation4-way stretch construction moves better in every directionMaterial wicks sweat & dries really fastAnti-odor technology prevents the growth of odor causing microbesProduct design detailsCharcoal grey pinstriped jerseyhas V-neck\xa0short sleevesNext-to-skin without the squeeze""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% polyesterMachine-wash""', 'Specifications': '""""Fabric:Polyester,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:V-Neck,Occasion:Sports,Pattern:Striped,Print or Pattern Type:Striped,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Technology:Anti Odour,Wash Care:Machine Wash,""""'}""",7605746,Sold by: Supercom Net  Supercom Net ,"""Manufacturer/Packer/Importer Details::Gimmill Pte Ltd Wuzhong Economic Development Zone Suzhou-215124-----Country of origin::China-----"""
116,"""Calvin Klein Jeans""","""Men White Embroidered Round Neck T-shirt""",Rs. 4999,Rs. 4999,0,"""{'Product Details ': '""White embroidered T-shirt, has a round neck, and long sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""98% cotton, 2% elastaneMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fabric 2:Elastane,Fit:Regular Fit,Length:Regular,Main Trend:Typography or Slogan Prints,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Self Design,Pattern Coverage:Chest,Print or Pattern Type:Typography,Sleeve Length:Long Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Embroidered,Wash Care:Machine Wash,""""'}""",10267669,Sold by: Indiflashmart  Indiflashmart ,"""Manufacturer/Packer/Importer Details::Calvin Klein Arvind Fashion Private Limited, Vayudooth Chambers, 9Th Floor, 15 & 16, M.G.Road, Bangalore - 560001-----Country of origin::Cambodia-----"""
117,"""Roadster""","""Men Olive Green Conversational Printed Round Neck T-shirt""",Rs. 599,Rs. 299,(50% OFF),"""{'Product Details ': '""Olive green printed T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Conversational Print,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Pattern Coverage:All-Over,Print or Pattern Type:Conversational,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",2330271,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::MACFIT FASHIONS,NO-1,5/6 , SINGARAVELAN NAGAR,1ST STREET,SAKTHI THEATRE ROAD ,CHETTIPALAYAM,Tirupur,TAMILNADU,641603-----Country of origin::INDIA-----"""
118,"""Roadster""","""Men Olive Green Camouflage Round Neck T-shirt""",Rs. 699,Rs. 279,(60% OFF),"""{'Product Details ': '""Olive Green printed T-shirt, has a round neck, short sleeves""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Cotton Machine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Utility or Military Inspired,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Printed,Print or Pattern Type:Camouflage,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",1830401,Sold by: Truenet Commerce  Truenet Commerce ,"""Manufacturer/Packer/Importer Details::POPPYS APPARELS,NO.57, APPACHI NAGAR MAIN ROAD,TIRUPUR,TAMILNADU,641607-----Country of origin::INDIA-----"""
119,"""ether""","""ETHER Navy T-shirt""",Rs. 499,Rs. 499,0,"""{'Product Details ': '""Navy blue slub knit\xa0T-shirt, has a round neck, short sleeves, a patch pocket""', 'Size & Fit': '""The model (height 6\' and shoulders 18"") is wearing a size M""', 'Material & Care': '""100% cottonMachine-wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:New Basics,Multipack Set:Single,Neck:Round Neck,Occasion:Casual,Pattern:Solid,Print or Pattern Type:Solid,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Surface Styling:Pockets,Wash Care:Machine Wash,""""'}""",1197801,Sold by: Omnitech Retail  Omnitech Retail ,"""Manufacturer/Packer/Importer Details::Mg cotton Company Private Limited,442/2-b1 Avinashilingampalayam, Palangarai village,Avinashi,TAMILNADU,641654-----Country of origin::INDIA-----"""
120,"""Wrangler""","""Men White Printed Round Neck T-shirt""",Rs. 1195,Rs. 1195,0,"""{'Product Details ': '""White printed T-shirt, has a round neck, short sleeves, and 1 pockets""', 'Size & Fit': '""The model (height 6\') is wearing a size M""', 'Material & Care': '""Material: 100% cottonMachine Wash""', 'Specifications': '""""Fabric:Cotton,Fit:Regular Fit,Length:Regular,Main Trend:Graphic Print Others,Multipack Set:Single,Neck:Round Neck,Number of Pockets:1,Occasion:Casual,Pattern:Printed,Pattern Coverage:Chest,Print or Pattern Type:Graphic,Sleeve Length:Short Sleeves,Sleeve Styling:Regular Sleeves,Wash Care:Machine Wash,""""'}""",11237472,Sold by: Vision Star  Vision Star ,"""Manufacturer/Packer/Importer Details::Bridgeway Textiles Pvt. Ltd.,516, Jeeva Colony Extn.,Angeripalayam Road,Tirupur. -641603-----Country of origin::India-----"""
